Scenario,Random_Seed,Iteration,Num_Experiments,yield_Measurements,yield_IterBest,yield_CumBest,Initial_Data
0,1346,1,4,"[3.6, 5.22]",5.22,16.83,
0,1346,2,6,"[5.75, 0.0]",5.75,16.83,
0,1346,3,8,"[0.0, 0.0]",0.0,16.83,
0,1346,4,10,"[22.65, 31.58]",31.58,31.58,
0,1346,5,12,"[20.2, 18.93]",20.2,31.58,
0,1346,6,14,"[7.74, 44.22]",44.22,44.22,
0,1346,7,16,"[63.2, 20.67]",63.2,63.2,
0,1346,8,18,"[19.99, 57.95]",57.95,63.2,
0,1346,9,20,"[43.84, 36.73]",43.84,63.2,
0,1347,0,2,"[26.3, 22.92]",26.3,26.3,
0,1347,1,4,"[3.6, 5.22]",5.22,26.3,
0,1347,2,6,"[5.75, 0.0]",5.75,26.3,
0,1347,3,8,"[29.45, 13.13]",29.45,29.45,
0,1347,4,10,"[2.62, 16.44]",16.44,29.45,
0,1347,5,12,"[0.0, 0.0]",0.0,29.45,
0,1347,6,14,"[12.91, 40.04]",40.04,40.04,
0,1347,7,16,"[18.95, 9.32]",18.95,40.04,
0,1347,8,18,"[24.55, 34.6]",34.6,40.04,
0,1347,9,20,"[0.0, 5.38]",5.38,40.04,
0,1348,0,2,"[57.95, 0.0]",57.95,57.95,
0,1348,1,4,"[3.6, 5.22]",5.22,57.95,
0,1348,2,6,"[5.75, 0.0]",5.75,57.95,
0,1348,3,8,"[0.0, 0.0]",0.0,57.95,
0,1348,4,10,"[19.99, 36.73]",36.73,57.95,
0,1348,5,12,"[57.85, 63.2]",63.2,63.2,
0,1348,6,14,"[16.44, 31.58]",31.58,63.2,
0,1348,7,16,"[43.84, 44.22]",44.22,63.2,
0,1348,8,18,"[52.23, 0.0]",52.23,63.2,
0,1348,9,20,"[61.09, 20.67]",61.09,63.2,
0,1349,0,2,"[0.0, 19.77]",19.77,19.77,
0,1349,1,4,"[3.6, 5.22]",5.22,19.77,
0,1349,2,6,"[5.75, 0.0]",5.75,19.77,
0,1349,3,8,"[7.25, 25.67]",25.67,25.67,
0,1349,4,10,"[8.95, 17.53]",17.53,25.67,
0,1349,5,12,"[25.31, 0.25]",25.31,25.67,
0,1349,6,14,"[0.0, 31.97]",31.97,31.97,
0,1349,7,16,"[3.55, 0.4]",3.55,31.97,
0,1349,8,18,"[0.0, 24.02]",24.02,31.97,
0,1349,9,20,"[57.27, 47.03]",57.27,57.27,
0,1350,0,2,"[0.0, 3.51]",3.51,3.51,
0,1350,1,4,"[3.6, 5.22]",5.22,5.22,
0,1350,2,6,"[5.75, 0.0]",5.75,5.75,
0,1350,3,8,"[0.0, 0.0]",0.0,5.75,
0,1350,4,10,"[0.66, 15.36]",15.36,15.36,
0,1350,5,12,"[57.27, 47.03]",57.27,57.27,
0,1350,6,14,"[2.72, 6.98]",6.98,57.27,
0,1350,7,16,"[12.23, 31.18]",31.18,57.27,
0,1350,8,18,"[44.4, 18.95]",44.4,57.27,
0,1350,9,20,"[37.93, 0.0]",37.93,57.27,
0,1351,0,2,"[0.0, 0.0]",0.0,0.0,
0,1351,1,4,"[3.6, 44.4]",44.4,44.4,
0,1351,2,6,"[5.22, 5.75]",5.75,44.4,
0,1351,3,8,"[29.45, 26.3]",29.45,44.4,
0,1351,4,10,"[31.66, 52.2]",52.2,52.2,
0,1351,5,12,"[33.6, 37.3]",37.3,52.2,
0,1351,6,14,"[22.3, 52.23]",52.23,52.23,
0,1351,7,16,"[57.18, 36.73]",57.18,57.18,
0,1351,8,18,"[16.04, 51.32]",51.32,57.18,
0,1351,9,20,"[55.7, 18.9]",55.7,57.18,
1,1337,0,2,"[13.13, 44.22]",44.22,44.22,0.0
1,1337,1,4,"[3.6, 5.22]",5.22,44.22,0.0
1,1337,2,6,"[5.75, 36.73]",36.73,44.22,0.0
1,1337,3,8,"[0.0, 0.0]",0.0,44.22,0.0
1,1337,4,10,"[0.0, 57.27]",57.27,57.27,0.0
1,1337,5,12,"[9.79, 31.97]",31.97,57.27,0.0
1,1337,6,14,"[12.23, 5.29]",12.23,57.27,0.0
1,1337,7,16,"[47.03, 37.38]",47.03,57.27,0.0
1,1337,8,18,"[16.15, 13.02]",16.15,57.27,0.0
1,1337,9,20,"[3.4, 1.71]",3.4,57.27,0.0
1,1337,0,2,"[84.17, 38.8]",84.17,84.17,1.0
1,1337,1,4,"[38.79, 27.79]",38.79,84.17,1.0
1,1337,2,6,"[1.96, 79.33]",79.33,84.17,1.0
1,1337,3,8,"[0.0, 8.04]",8.04,84.17,1.0
1,1337,4,10,"[43.2, 72.9]",72.9,84.17,1.0
1,1337,5,12,"[61.71, 53.43]",61.71,84.17,1.0
1,1337,6,14,"[5.38, 0.0]",5.38,84.17,1.0
1,1337,7,16,"[23.71, 40.02]",40.02,84.17,1.0
1,1337,8,18,"[57.85, 8.72]",57.85,84.17,1.0
1,1337,9,20,"[3.6, 5.22]",5.22,84.17,1.0
1,1337,0,2,"[52.23, 63.2]",63.2,63.2,2.0
1,1337,1,4,"[3.6, 5.22]",5.22,63.2,2.0
1,1337,2,6,"[5.75, 29.45]",29.45,63.2,2.0
1,1337,3,8,"[0.0, 0.0]",0.0,63.2,2.0
1,1337,4,10,"[0.0, 57.27]",57.27,63.2,2.0
1,1337,5,12,"[0.0, 4.89]",4.89,63.2,2.0
1,1337,6,14,"[3.55, 8.72]",8.72,63.2,2.0
1,1337,7,16,"[47.03, 6.98]",47.03,63.2,2.0
1,1337,8,18,"[0.0, 40.02]",40.02,63.2,2.0
1,1337,9,20,"[57.85, 18.19]",57.85,63.2,2.0
1,1337,0,2,"[0.0, 0.0]",0.0,0.0,3.0
1,1337,1,4,"[3.6, 5.22]",5.22,5.22,3.0
1,1337,2,6,"[5.75, 0.0]",5.75,5.75,3.0
1,1337,3,8,"[0.0, 0.0]",0.0,5.75,3.0
1,1337,4,10,"[57.27, 47.03]",57.27,57.27,3.0
1,1337,5,12,"[38.8, 65.32]",65.32,65.32,3.0
1,1337,6,14,"[5.29, 4.89]",5.29,65.32,3.0
1,1337,7,16,"[18.93, 0.4]",18.93,65.32,3.0
1,1337,8,18,"[6.57, 7.84]",7.84,65.32,3.0
1,1337,9,20,"[61.09, 84.03]",84.03,84.03,3.0
1,1337,0,2,"[0.0, 37.4]",37.4,37.4,4.0
1,1337,1,4,"[3.6, 5.22]",5.22,37.4,4.0
1,1337,2,6,"[5.75, 7.59]",7.59,37.4,4.0
1,1337,3,8,"[0.0, 0.0]",0.0,37.4,4.0
1,1337,4,10,"[0.0, 57.27]",57.27,57.27,4.0
1,1337,5,12,"[3.55, 4.97]",4.97,57.27,4.0
1,1337,6,14,"[12.44, 2.72]",12.44,57.27,4.0
1,1337,7,16,"[47.03, 37.38]",47.03,57.27,4.0
1,1337,8,18,"[3.4, 14.53]",14.53,57.27,4.0
1,1337,9,20,"[1.71, 0.41]",1.71,57.27,4.0
1,1337,0,2,"[7.12, 0.0]",7.12,7.12,5.0
1,1337,1,4,"[3.6, 5.22]",5.22,7.12,5.0
1,1337,2,6,"[5.75, 0.0]",5.75,7.12,5.0
1,1337,3,8,"[0.0, 0.0]",0.0,7.12,5.0
1,1337,4,10,"[57.27, 47.03]",57.27,57.27,5.0
1,1337,5,12,"[4.89, 43.22]",43.22,57.27,5.0
1,1337,6,14,"[5.29, 17.9]",17.9,57.27,5.0
1,1337,7,16,"[6.98, 16.76]",16.76,57.27,5.0
1,1337,8,18,"[0.0, 2.72]",2.72,57.27,5.0
1,1337,9,20,"[28.17, 13.02]",28.17,57.27,5.0
1,1337,0,2,"[9.59, 0.0]",9.59,9.59,6.0
1,1337,1,4,"[3.6, 14.68]",14.68,14.68,6.0
1,1337,2,6,"[5.22, 5.75]",5.75,14.68,6.0
1,1337,3,8,"[0.0, 0.0]",0.0,14.68,6.0
1,1337,4,10,"[0.0, 57.27]",57.27,57.27,6.0
1,1337,5,12,"[4.97, 5.62]",5.62,57.27,6.0
1,1337,6,14,"[12.44, 5.29]",12.44,57.27,6.0
1,1337,7,16,"[47.03, 37.38]",47.03,57.27,6.0
1,1337,8,18,"[0.0, 17.9]",17.9,57.27,6.0
1,1337,9,20,"[3.4, 1.71]",3.4,57.27,6.0
1,1337,0,2,"[55.17, 29.45]",55.17,55.17,7.0
1,1337,1,4,"[3.6, 5.22]",5.22,55.17,7.0
1,1337,2,6,"[5.75, 7.12]",7.12,55.17,7.0
1,1337,3,8,"[0.0, 0.0]",0.0,55.17,7.0
1,1337,4,10,"[0.0, 57.27]",57.27,57.27,7.0
1,1337,5,12,"[3.55, 75.28]",75.28,75.28,7.0
1,1337,6,14,"[62.75, 38.8]",62.75,75.28,7.0
1,1337,7,16,"[36.73, 13.02]",36.73,75.28,7.0
1,1337,8,18,"[30.83, 40.02]",40.02,75.28,7.0
1,1337,9,20,"[1.36, 46.57]",46.57,75.28,7.0
1,1337,0,2,"[0.0, 0.0]",0.0,0.0,8.0
1,1337,1,4,"[5.22, 13.19]",13.19,13.19,8.0
1,1337,2,6,"[3.6, 5.75]",5.75,13.19,8.0
1,1337,3,8,"[0.0, 0.0]",0.0,13.19,8.0
1,1337,4,10,"[0.0, 57.27]",57.27,57.27,8.0
1,1337,5,12,"[5.65, 9.79]",9.79,57.27,8.0
1,1337,6,14,"[31.18, 12.44]",31.18,57.27,8.0
1,1337,7,16,"[47.03, 21.65]",47.03,57.27,8.0
1,1337,8,18,"[37.38, 2.72]",37.38,57.27,8.0
1,1337,9,20,"[1.9, 10.66]",10.66,57.27,8.0
1,1337,0,2,"[4.39, 0.0]",4.39,4.39,9.0
1,1337,1,4,"[3.6, 5.22]",5.22,5.22,9.0
1,1337,2,6,"[5.75, 0.0]",5.75,5.75,9.0
1,1337,3,8,"[0.0, 0.0]",0.0,5.75,9.0
1,1337,4,10,"[57.27, 47.03]",57.27,57.27,9.0
1,1337,5,12,"[17.9, 19.77]",19.77,57.27,9.0
1,1337,6,14,"[52.23, 43.22]",52.23,57.27,9.0
1,1337,7,16,"[37.38, 2.62]",37.38,57.27,9.0
1,1337,8,18,"[5.29, 8.72]",8.72,57.27,9.0
1,1337,9,20,"[63.2, 8.45]",63.2,63.2,9.0
1,1337,0,2,"[46.46, 10.66]",46.46,46.46,10.0
1,1337,1,4,"[3.6, 5.22]",5.22,46.46,10.0
1,1337,2,6,"[5.75, 0.0]",5.75,46.46,10.0
1,1337,3,8,"[0.0, 0.0]",0.0,46.46,10.0
1,1337,4,10,"[57.27, 47.03]",57.27,57.27,10.0
1,1337,5,12,"[19.77, 17.53]",19.77,57.27,10.0
1,1337,6,14,"[37.38, 3.4]",37.38,57.27,10.0
1,1337,7,16,"[1.71, 0.41]",1.71,57.27,10.0
1,1337,8,18,"[19.55, 14.29]",19.55,57.27,10.0
1,1337,9,20,"[11.68, 43.2]",43.2,57.27,10.0
1,1337,0,2,"[0.0, 0.0]",0.0,0.0,11.0
1,1337,1,4,"[5.75, 28.9]",28.9,28.9,11.0
1,1337,2,6,"[3.6, 5.22]",5.22,28.9,11.0
1,1337,3,8,"[0.0, 0.0]",0.0,28.9,11.0
1,1337,4,10,"[0.0, 57.27]",57.27,57.27,11.0
1,1337,5,12,"[47.03, 37.38]",47.03,57.27,11.0
